name,email,address,contact,jurisdiction__slug,other_names,description,tags,parent__name,classification,url,website_dump,request_note
Office of the Corporation Counsel,corpcounsel@co.hawaii.hi.us,"Hilo Lagoon Centre, 101 Aupuni Street, Unit 325
Hilo, HI 96720","Phone: (808) 961-8251
Fax: (808) 961-8622",county-of-hawaii,,"This department is the legal advisor and legal representative of all county agencies, the council, and all officers and employees in matters related to their official powers and duties.  The corporation counsel shall represent the county in all civil legal proceedings and shall perform all other services incident to the office as may be required by law.  The corporation counsel shall, however, be prohibited from representing any elected officer in impeachment proceedings.","legal,corporation counsel,lawyer,attorney,counsel,Cost of Government Commission",,,http://www.hawaiicounty.gov/corporation-counsel/,,
Board of Ethics,corpcounsel@co.hawaii.hi.us,"101 Aupuni Street, Suite 325
Hilo, HI  96720","Phone: (808) 961-8251
Fax: (808) 961-8622",county-of-hawaii,,"To interpret the County's Code of Ethics for officers, employees and the public; receive and initiate complaints; conduct hearings on violations and render opinions","ethics,lobbying,gifts,financial disclosure,investigation",,Office of the Corporation Counsel,http://records.co.hawaii.hi.us/weblink/Browse.aspx?dbid=1&startid=7513,,
Hawaii County Council,councilweb@hawaiicounty.gov,"25 Aupuni Street, Suite 1402/2402
Hilo, HI  96720","Phone:  (808) 961-8255
Fax:  (808) 961-8912",county-of-hawaii,,"The Council is responsible for passing the laws that govern this county, as enacted by ordinance, and written in the Hawai‘i County Code.","council,legislative",,,http://www.hawaiicounty.gov/council/,,
Office of the County Clerk,councilweb@hawaiicounty.gov,,,county-of-hawaii,,The Office of the County Clerk is responsible for Legislative Branch administrative operations and support services.  This Office is also responsible for voter and candidate registration & elections and maintaining legislative records.,"clerk,legislative,council,certification,voter,registration,elections,archives,research,Pension Board,campaign",,,http://www.hawaiicounty.gov/lb-clerk-home/,,
Office of the County Auditor,county.auditor@mauicounty.us,"2145 Wells Street, Suite 106
Wailuku, HI  96793",Phone:  (808) 463-3192,county-of-maui,,"The Office of the County Auditor consists of a County Auditor and necessary staff, and is responsible for promoting economy, efficiency, and improved service in the transaction of the public business in both the legislative and executive branches.","auditor,audit,investigation,Cost of Government Commission",,,http://co.maui.hi.us/2030/Office-of-the-County-Auditor,,
Office of the County Clerk,county.clerk@mauicounty.us,"200 S. High St., 7th Floor
Wailuku, HI  96793","Phone:  (808) 270-7748
Fax:  (808) 270-7686",county-of-maui,,"The mission of the Office of the County Clerk is to:  Present information to the County Council, County departments, and the public through the agenda process; Provide professional service to the public; Ensure the integrity and accessibility of public records; Ensure the integrity of the election process; and Support the mission, goals, and programs of the County Council","clerk,legislative,council,certification,voter,registration,elections,archives,campaign",,,http://co.maui.hi.us/657/Office-of-the-County-Clerk,,
Maui County Council,county.council@mauicounty.us,"200 S. High St., 7th Floor
Wailuku, HI  96793","Phone:  (808) 270-7838
Fax:  (808) 270-7686",county-of-maui,,"The Council is the legislative and policy-making body of the Maui County government, as provided by Section 2-2 of the Charter of the County of Maui: 'All powers of the county shall be carried into execution as provided by this charter, or, if the charter makes no provisions, as provided by ordinance or resolution of the county council.' ","council, legislative",,,http://mauicounty.us,,
Office of Council Services,county.council@mauicounty.us,"200 S. High St., 7th Floor
Wailuku, HI  96793","Phone:  (808) 270-7838
Fax:  (808) 270-7686",county-of-maui,,"The Office of Council Services provides research, clerical, and logistical support to the committees of the County Council, and to Council members in the performance of their official legislative duties.","council, research",,,http://co.maui.hi.us/658/Office-of-Council-Services,,
Maui Police Department,crs@mpd.net,"55 Mahalani St.
Wailuku, HI 96793","Phone: (808) 244-6400
Fax: (808) 244-6411",county-of-maui,,The mission of the Maui Police Department is to serve the community in a manner that epitomizes those ideals woven into the fabric of the Constitution of the United States and the Spirit of Aloha. We will serve to enhance the quality of life in cooperation with all of those who share these beautiful islands in making this a better place to live. ,"MPD,crime,criminal,investigation,internal affairs,safety,emergency,police,law enforcement,firearm,narcotics,professional standards,Police Commission",,,http://www.co.maui.hi.us/122/Police-Department,,
Department of Customer Services,csd@honolulu.gov,"550 South King Street 
Honolulu, Hawaii 96813",,city-and-county-of-honolulu,,"The Department of Customer Services (CSD) provides the public with information about city programs, administers the Motor Vehicles, Licensing, and Permits program, and operates Satellite City Hall and driver licensing stations island-wide.","CSD,motor vehicle,driver,satellite city hall,satellite city,municipal reference center,registration,licensing",,,http://www.honolulu.gov/csd/default.html,,
Crime Victim Compensation Commission,cvcc@hawaii.rr.com,"1136 Union Mall, Suite 600
Honolulu, HI  96813","Phone:  (808) 587-1143
Fax:  (808) 587-1146",state-of-hawaii,,The mission of the Crime Victim Compensation Commission (CVCC) is to equitably and efficiently provide crime victims the services due to them under Hawai‘i law.,"crime,victim,compensation,CVCC",,Department of Public Safety,http://dps.hawaii.gov/cvcc/,,
Department of Accounting & General Services,dags@hawaii.gov,"Kalanimoku Building
1151 Punchbowl Street
Honolulu, HI 96813","Ph: 808 586-0400
Fax: 808 586-0775",state-of-hawaii,,"The Department of Accounting and General Services, commonly known as DAGS, is headed by the State Comptroller, who concurrently serves as the director of DAGS.  The department is responsible for managing and supervising a wide range of State programs and activities.  DAGS provides the physical, financial, and technical infrastructure to support State departments and agencies in accomplishing their missions.","accounting, archives, audit, automotive, building, custodial, grounds, facilities, land survey, central services, public works, parking, comptroller, DAGS, Access Hawaii Committee, King Kamehameha Celebration Commission, internet portal, Building Code Council, Information Privacy and Security Council, IPSC, Enhanced 911 Board",,,http://ags.hawaii.gov/,,
Campaign Spending Commission,dags@hawaii.gov,"235 S. Beretania St., Room 300
Honolulu, HI  96813","Phone:  (808) 586-0285
Fax:  (808) 586-0288",state-of-hawaii,,"Our mission is to maintain the integrity and transparency of the campaign finance process by enforcing the law, educating the public, administering public financing, and training campaign committees in order to encourage timely compliance.","elections, contribution, fundraising, campaign",,Department of Accounting & General Services,http://ags.hawaii.gov/campaign/,,
Hawaii State Foundation on Culture and the Arts,dags@hawaii.gov,"250 S. Hotel St., 2nd Floor
Honolulu, HI  96813","Phone:  (808) 586-0300
Fax:  (808) 586-0308",state-of-hawaii,,"The Hawai‘i State Foundation on Culture and the Arts was established by the Hawai‘i State Legislature in 1965, to promote, perpetuate, preserve and encourage culture and the arts, history and the humanities as central to the quality of life of the people of Hawai‘i.","culture, arts",,Department of Accounting & General Services,http://sfca.hawaii.gov,,
Department of Commerce & Consumer Affairs,dcca@dcca.hawaii.gov,"335 Merchant Street
Honolulu, Hawaii 96813",Ph: 808 587-3222,state-of-hawaii,,"The DCCA serves the public through a variety of functions, including regulating and licensing more than 140,000 professionals, monitoring the financial solvency of local banks and insurance companies, and investigating complaints of fraudulent and unfair business practices.","broadband,business registration,business,cable television,insurance,regulated industries,licensing,vocational,professional,PVL,BREG,real estate,securities,RICO,financial institutions,banks,landlord,tenant,landlord-tenant,hurricane relief,DCCA,consumer affairs,commerce,Broadband Assistance Advisory Council,Cable Advisory Committee,utilities,rates,Credit Union Advisory Board,Insurance Commissioner,Hawaii Hurricane Relief Fund,investigation,Board of Public Accountancy,Board of Acupuncture,Board of Barbering and Cosmetology,Boxing Commission,Board of Chiropractic Examiners,Contractors License Board,Board of Dental Examiners,Board of Electricians and Plumbers,Elevator Mechanics Licensing Board,Board of Professional Engineers, Architects, Surveyors and Landscape Architects,Board of Massage Therapy,Hawaii Medical Board,Motor Vehicle Industry Licensing Board,Motor Vehicle Repair Industry Board,Board of Naturopathic Medicine,Board of Nursing,Board of Examiners in Optometry,Pest Control Board,Board of Pharmacy,Board of Physical Therapy,Board of Private Detectives and Guards,Board of Psychology,Real Estate Commission,Board of Speech Pathology and Audiology,Board of Veterinary Examiners",,,http://cca.hawaii.gov/,,
Department of Emergency Management,dem@honolulu.gov,"Frank F. Fasi Municipal Building
650 South King Street, Basement 
Honolulu, Hawaii 96813-3078","Phone: (808) 723-8960
TTY: (808) 723-8966
Fax: (808) 524-3439",city-and-county-of-honolulu,,"The Department of Emergency Management (DEM) coordinates the city’s emergency management operations with state, federal (including military), and non-government agencies to prepare, respond to, and recover from various types of disasters and emergencies.","emergency,emergency management,DEM,disaster,civil defense",,,http://www.honolulu.gov/dem/default.html,,
Department of Human Resources Development,dhrd@hawaii.gov,"235 S Beretania St.
Honolulu, HI 96813","Ph: 808 587-1100
Fax: 808 587-1106",state-of-hawaii,,"The Department of Human Resources Development (“DHRD”) provides timely and responsive leadership, resources, and services to fully support the State in the recruitment, management and retention of a high-performing workforce.","deferred compensation,merit appeals board,employee claims,employee relations,employee classification,DHRD,personnel,employee,Deferred Compensation Plan,benefits,civil service",,,http://dhrd.hawaii.gov/,,
"Department of Human Services
",dhs@dhs.hawaii.gov,"P.O. Box 339
Honolulu, HI 96809-0339",Fax: 808 586-4890,state-of-hawaii,,"To provide timely, efficient and effective programs, services and benefits for the purpose of achieving the outcome of empowering Hawaii’s most vulnerable people; and to expand their capacity for self-sufficiency, self-determination, independence, healthy choices, quality of life, and personal dignity.","employee benefits,child welfare,TANF,head start,SNAP, food stamp,foster,QUEST,SCHIP,medicaid,medical insurance,state rehabilitation council,ho'opono,services for the blind,independent living,vocational rehabilitation,health care,state commission on the status of women,status of women,fatherhood commission,fatherhood,shelter,homeless,houseless,juvenile justice,Commission on Fatherhood,MED-QUEST,social services,DHS,EBT,blind,disability,Hawaii Interagency Council on Homelessness,youth,youth services,Hawaii Juvenile Justice State Advisory Council,State Commission on Fatherhood",,,http://humanservices.hawaii.gov/,,
Department of Housing & Human Concerns,director.hhc@mauicounty.gov,"95 Mahalani St, Room 20
Wailuku , HI 96793","Phone: (808) 270-7805
Fax: (808) 270-7165",county-of-maui,,"The County, through the Department of Housing and Human Concerns, supports a wide range of community needs through a combination of direct services administered by the department, grant support to non-profit service providers, and/or encouraging and facilitating collaboration and partnerships among public and private organizations.","shelter,homeless,houseless,social services,rental assistance,section 8,housing,development,affordable housing,aging,elder affairs,Office on Aging,immigration,youth,youth services,early childhood,disabilities,disability,animal,Animal Control Board,Commission on Children and Youth,Commission on Culture and the Arts,Commission on Persons with Disabilities,Council on Aging,Volunteer Center Advisory Committee",,,http://www.co.maui.hi.us/117/Housing-Human-Concerns,,
"Department of Business, Economic Development & Tourism
",director@dbedt.hawaii.gov,"P.O. Box 2359
Honolulu, Hawaii 96804",Ph: 808 586-2355,state-of-hawaii,,"The Department of Business, Economic Development & Tourism is Hawaii’s resource center for economic and statistical data, business development opportunities, energy and conservation information, and foreign trade advantages.","energy, economy, foreign trade, planning, development, census, creative industries, marketing, geothermal, space industry, Hawaii state data center, sister state, international space center, DBEDT, Small Business Regulatory Review Board, SBRRB, Aloha Tower Development Corporation, ATDC, Convention Center Authority, tourism, business, Community-Based Economic Development Advisory, Aerospace Advisory Committee, small business",,,http://dbedt.hawaii.gov/,,
Hawaii Housing Finance & Development Corporation,director@dbedt.hawaii.gov,"677 Queen Street
Honolulu, HI  96813",Phone:  (808) 587-0620,state-of-hawaii,,HHFDC is the State of Hawaii’s premier housing finance and development agency – your one-stop shop for information about affordable housing development and state-sponsored homeownership initiatives.,"HHFDC, housing, affordable housing, development",,"Department of Business, Economic Development & Tourism",http://dbedt.hawaii.gov/hhfdc/,,
Hawaii Strategic Development Corporation,director@dbedt.hawaii.gov,"P.O. Box 2359
Honolulu, HI  96813",Phone:  (808) 587-3832,state-of-hawaii,,The HI Growth Initiative is a State equity investment program designed to catalyze the development of an innovation ecosystem that supports entrepreneurial high growth businesses and creates high wage jobs for our people.,"HSDC, HI Growth, investment, innovation",,"Department of Business, Economic Development & Tourism",http://hsdc.hawaii.gov,,
Office of Planning,director@dbedt.hawaii.gov,"P.O. Box 2359
Honolulu, Hawaii 96804","Phone:  (808) 587-2846
Fax:  (808) 587-2824",state-of-hawaii,,"The State of Hawaii, Office of Planning, gathers, analyzes, and provides information to the Governor to assist in the overall analysis and formulation of state policies and strategies.","planning, land use, coastal, GIS, climate change, development, coastal zone management, geographic information systems",,"Department of Business, Economic Development & Tourism",http://planning.hawaii.gov,,
Department of Labor & Industrial Relations,dlir.director@hawaii.gov,"830 Punchbowl St. #321
Honolulu, HI 96813",Ph: 808 586-8844,state-of-hawaii,,"The department shall administer programs designed to increase the economic security, physical and economic well-being, and productivity of workers, and to achieve good labor-management relations, including the administration of workers’ compensation, employment security, apprenticeship training, wage and hour, and industrial relations laws.  The department shall also have the function of developing, preparing, and disseminating information on employment, unemployment, and general labor market conditions.","disability compensation,employment security,labor relations,occupational safety,HIOSH,unemployment,unemployment insurance,wage standards,wages,workforce,occupational health,DLIR,vocational rehabilitation,inspection,Hoisting Machine Operators Advisory Board,Hawaii Occupational Safety and Health Advisory Committee,research,statistics,Career Kokua,HCIDS,workforce development,State Apprenticeship Council,Employment Security Appeals Referees' Office,State Fire Council,Hawaii Workforce Development Council",,,http://labor.hawaii.gov/,,
Hawaii Civil Rights Commission,DLIR.HCRC.INFOR@hawaii.gov,"830 Punchbowl Street, Room 411
Honolulu, HI  96813","Phone:  (808) 586-8636
Fax:  (808) 586-8655",state-of-hawaii,,"HCRC has enforced state laws prohibiting discrimination in employment (H.R.S. Chapter 378, Part I), housing (H.R.S. Chapter 515); public accommodations (H.R.S. Chapter 489), and access to state and state-funded services (H.R.S. §368-1.5). The HCRC receives, investigates, conciliates, and adjudicates complaints of discrimination.","civil rights,investigation,discrimination,housing,public accommodations,employment",,Department of Labor & Industrial Relations,http://labor.hawaii.gov/hcrc/,,
Hawaii Labor Relations Board,dlir.laborboard@hawaii.gov,"830 Punchbowl Street, Room 434
Honolulu, HI  96813","Phone:  (808) 586-8610
Fax:  (808) 586-8613",state-of-hawaii,,The mission of the Hawaii Labor Relations Board is to enforce and protect the rights of public employees (state and county workers) and public unions to organize and bargain collectively in balance with the employer’s rights to manage operations as provided by law and to fairly and efficiently resolve labor disputes brought before it.,"unfair labor,union,workers' compensation,boiler safety,elevator safety,Labor & Industrial Relations Appeals Board,HLRB,LIRAB",,Department of Labor & Industrial Relations,http://labor.hawaii.gov/hlrb/,,
Office of Community Services,dlir.ocs@hawaii.gov,"830 Punchbowl Street, Room 420
Honolulu, HI  96813",Phone:  (808) 586-8675,state-of-hawaii,,"OCS assists Hawaii’s low-income, immigrant and refugee populations to overcome and alleviate workforce barriers to economic self-sufficiency through an array of community-based programs and services. OCS primarily contracts and administers program services on behalf of the State and Federal governments. OCS allocates funds using a competitive purchase of services process unless the funding source authority directs award to a specific organization(s).","social services,immigration,refugee",,Department of Labor & Industrial Relations,http://labor.hawaii.gov/ocs/,,
Department of Land & Natural Resources,dlnr@hawaii.gov,"Kalanimoku Building
1151 Punchbowl St.
Honolulu, HI 96813",Ph: 808 587-0400,state-of-hawaii,,"To seek, develop and implement cost-effective strategies for the long-term sustainable management, maintenance, protection and utilization of existing and potential, ocean, land, natural and cultural resources of the State of Hawaii in an integrated manner and in partnership with others from the public and private sectors. Additionally, prevent the establishment of invasive species detrimental to native habitats, while promoting responsible use, understanding, and respect for Hawaii's resources.","aquatic resources,DAR,boating,ocean recreation,DOBOR,conveyances,BOC,bureau of conveyances,conservation,resources enforcement,DOCARE,wildlife,DOFAW,historic preservation,SHPD,hunter,camping,coastal lands,parks,historic places,trails,fisheries,burial council,water,endangered species,Kahana Valley Living Park,Kaho'olawe Island Reserve,Kaneohe Bay Regional Council,Koke'e State Park,Legacy Land Conservation Commission,Natural Area Reserves Systems Commission,Water Resource Management 
Commission,aha moku,harbors,invasive species,water resource,DLNR,Hawaiian Island Humpback Whale National Marine Sanctuary,Papahanaumokuakea Marine National Monument,Anuenue Fisheries Research Center,Kauai Aquatic Life and Wildlife Advisory Committee,small boat harbors,hunting,planning,forestry,Endangered Species Recovery Committee,Invasive Species Council,land use,State Historic Preservation Division,Hawaii Historic Places Review Board,culture,archaeology,Island Burial Council,Kokee State Park Advisory Council,Commission on Water Resource Management,CWRM,permitting",,,http://dlnr.hawaii.gov,,
Department of Education,doe_info@hawaiidoe.org,"1390 Miller St. 
Honolulu, HI 96813",Ph: 808 586-3230,state-of-hawaii,,"The Hawaii Department of Education serves our community by developing the academic achievement, character, and social-emotional well-being of our students to the fullest potential. The Department works with partners, families, and communities to ensure that all students reach their aspirations from early learning through college, career, and citizenship.","child nutrition, DOE, school, Teacher Education Coordinating Committee, Hawaii Teacher Standards Board, Board of Education",,,http://www.hawaiipublicschools.org/Pages/Home.aspx,,
Hawaii State Public Library System,doe_info@hawaiidoe.org,"44 Merchant St.
Honolulu, HI  96813","Phone:  (808) 586-3704
Fax:  (808) 586-3715",state-of-hawaii,,"Hawaii State Public Library System nurtures a lifelong love of reading and learning through its staff, collections, programs, services ad physical and virtual spaces.",library,,Department of Education,http://www.librarieshawaii.org,,
Department of Transportation,dotpao@hawaii.gov,"Information Specialist Aliiaimoku Building
869 Punchbowl Street Rm 506 
Honolulu, HI  96813","Ph: 808 587-2160
Fax: 808 587-2313",state-of-hawaii,,"The Hawaii Department of Transportation is responsible to plan, design, construct, operate, and maintain State facilities in all modes of transportation, including air, water, and land. ","airports,highways,harbors,Highway Safety Council,rail,DOT,rail transit,rail,planning,traffic,Medical Advisory Board,transportation",,,http://hidot.hawaii.gov/,,
Department of Water Supply,dws@hawaiidws.org,"345 Kekuanaoa Street, Suite 20
Hilo, HI 96720","Phone: (808) 961-8050
Fax: (808) 961-8657",county-of-hawaii,,"The Department of Water Supply is a semi-autonomous agency, which is responsible to manage, control and operate the waterworks of the County and all property thereof.","DWS,water,planning,Water Board",,,http://www.hawaiidws.org/,,
