id,name,email,contact,address,url,classification,jurisdiction__slug,categories,other_names,website_dump,description,request_note,parent__name
95,City Department of the Prosecuting Attorney,dpainfo@honolulu.gov,"Phone: (808) 768-7400
Fax: (808) 768-7515","1060 Richards Street
Honolulu, HI 96813",https://honoluluprosecutor.org,,city-and-county-of-honolulu,"PAT,attorney,crime,criminal,investigation,lawyer,legal",,,"The Department of the Prosecuting Attorney (PAT) investigates and prosecutes violations of statutes, ordinances and regulations for which there are criminal sanctions occurring within the City and County of Honolulu.",,
80,City Ethics Commission,ethics@honolulu.gov,"Phone: (808) 768-7786 
Fax: (808) 527-5936","715 South King Street, Room 211
Honolulu, Hawaii 96813",http://www.honolulu.gov/ethics/default.html,Department of the Corporation Counsel,city-and-county-of-honolulu,"""financial disclosure"",ethics,gifts,investigation,lobbying",,,"The commission renders advice on ethics questions to city personnel, the public and the media; investigates complaints of violations of the ethics laws; and recommends discipline to appointing authorities for ethics laws violations; and imposes civil fines for violations by exempt or elected officials.",,
99,City Office of Council Services,ocs@honolulu.gov,"Phone: (808) 768-3809
Fax: (808) 768-1370","530 S. King Street
Honolulu, HI 96813",http://www.honolulu.gov/ocs/default.html,,city-and-county-of-honolulu,"OCS,council,research",,,"The Office of Council Services (OCS) provides comprehensive research and reference services for the council. It conducts research and drafts legislation, revises city ordinances, and serves in an advisory capacity to the council and its committees.",,
73,City Office of Economic Revitalization,mayor@honolulu.gov,"Phone: (808) 768-5764
Fax (808) 768-4242","530 S. King Street, Rm. 306
 Honolulu, HI 96813",https://www.oneoahu.org,Office of the Mayor,city-and-county-of-honolulu,mayor,,,,,
70,City Office of the Mayor,mayor@honolulu.gov,"Phone: (808) 768-4141
Fax: (808) 768-5552","530 South King Street, Room 300
Honolulu, HI 96813",http://www.honolulu.gov/mayor,,city-and-county-of-honolulu,mayor,,,"Chief executive of the City and County of Honolulu, the mayor is responsible for the faithful execution of the provisions of the city charter and applicable ordinances and statutes.",,
65,Council on Revenues,Tax.UIPA@hawaii.gov,"Phone:  (808) 587-1540
Fax:  (808) 587-1560","Director’s Office
830 Punchbowl Street, Rm 221
Honolulu HI 96813",http://tax.hawaii.gov/useful/a9_1cor/,Department of Taxation,state-of-hawaii,"""financial plan"",COR,forecast,revenues",,,"The Council on Revenues, established under section 37-111, Hawaii Revised Statutes, prepares revenue estimates of the state government for each fiscal year of the six-year state program and financial plan.",,
130,County Attorney,cokcountyattorney@kauai.gov,"Phone: (808) 241-4930
Fax: (808) 241-6319","4444 Rice Street
Suite 220
Lihue, HI 96766",http://www.kauai.gov/Attorney,,county-of-kauai,"attorney,lawyer,legal",,,"The county attorney is the chief legal adviser and legal representative of all agencies, including the county council, and of all officers and employees in matters relating to their official powers and duties. The Office of the County attorney represents the county in all legal proceedings and performs all other services incident to the office as required by law.",,
63,Crime Victim Compensation Commission,cvcc@hawaii.rr.com,"Phone:  (808) 587-1143
Fax:  (808) 587-1146","1136 Union Mall, Suite 600
Honolulu, HI  96813",http://dps.hawaii.gov/cvcc/,Department of Public Safety,state-of-hawaii,"CVCC,compensation,crime,victim",,,The mission of the Crime Victim Compensation Commission (CVCC) is to equitably and efficiently provide crime victims the services due to them under Hawai‘i law.,,
1,Department of Accounting & General Services,dags@hawaii.gov,"Ph: 808 586-0400
Fax: 808 586-0775","Kalanimoku Building
1151 Punchbowl Street
Honolulu, HI 96813",http://ags.hawaii.gov/,,state-of-hawaii,"""Access Hawaii Committee"",""Building Code Council"",""Enhanced 911 Board"",""Information Privacy and Security Council"",""King Kamehameha Celebration Commission"",""central services"",""internet portal"",""land survey"",""public works"",DAGS,IPSC,accounting,archives,audit,automotive,building,comptroller,custodial,facilities,grounds,parking",,,"The Department of Accounting and General Services, commonly known as DAGS, is headed by the State Comptroller, who concurrently serves as the director of DAGS.  The department is responsible for managing and supervising a wide range of State programs and activities.  DAGS provides the physical, financial, and technical infrastructure to support State departments and agencies in accomplishing their missions.",,
2,Department of Agriculture,hdoa.info@hawaii.gov,Ph: 808 973-9560,"Office of the Chairperson
1428 S. King Street
Honolulu, HI 96814",http://hdoa.hawaii.gov/,,state-of-hawaii,"""Advisory Committee on Plants and Animals"",""Board of Agriculture"",""Molokai Irrigation System Water Users Advisory Board"",""invasive species"",DOA,agriculture,animal,aquaculture,pest,pesticide,plant,quarantine,rabies",,,"The Hawaii Department of Agriculture’s (HDOA) goals are to conserve and develop essential agricultural resources and infrastructure; to gain access and develop local, domestic, and international markets for Hawaii's agricultural products; to conserve and protect suitable agricultural lands and water; to raise awareness of the importance of agriculture to the State's economy, environment, and as a profession; to implement programs to safeguard Hawaii's farmers, consumers, and natural resources; and to prevent the introduction and establishment of plants, animals and disease that are detrimental to Hawaii's agriculture and environment.",,
4,Department of Budget & Finance,DBF.UIPA@hawaii.gov,Ph: 808 586-1518,"UIPA Request
Department of Budget and Finance
P. O. Box 150
Honolulu, Hawaii 96810",http://budget.hawaii.gov/,,state-of-hawaii,"""Hawaii Health Authority"",""capital improvements"",""unclaimed property"",CIP,accounting,audit,bonds,budget,finance,investment,treasury",,,"The Department of Budget and Finance, headed by the Director of Finance, administers the State budget, develops near- and long-term financial plans and strategies for the State, and provides programs for the improvement of management and financial management of State agencies.",,
77,Department of Budget & Fiscal Services,bfsmail@honolulu.gov,"Phone: (808) 768-3901 
Fax: (808) 768-3179","530 South King Street, Room 208
Honolulu, Hawaii 96813",http://www.honolulu.gov/budget/default.html,,city-and-county-of-honolulu,"""Board of Review"",""capital improvements"",""property assessment"",""real property"",""unclaimed property"",BFS,CIP,RPAD,accounting,assessment,auction,audit,bonds,budget,contract,contractor,finance,investment,procurement,purchasing,tax,taxation,treasury,vendor",,,"The Department of Budget and Fiscal Services (BFS) is responsible for providing the city’s centralized accounting, procurement, treasury, and budget functions.",,
5,"Department of Business, Economic Development & Tourism",dbedt.director@hawaii.gov,Ph: 808 586-2355,"Director’s Office
250 S. Hotel Street, 5th Floor
Honolulu, HI 96813",http://dbedt.hawaii.gov/,,state-of-hawaii,"""Aerospace Advisory Committee"",""Aloha Tower Development Corporation"",""Community-Based Economic Development Advisory"",""Convention Center Authority"",""Hawaii state data center"",""Small Business Regulatory Review Board"",""creative industries"",""foreign trade"",""international space center"",""sister state"",""small business"",""space industry"",ATDC,DBEDT,SBRRB,business,census,development,economy,energy,geothermal,marketing,planning,tourism",,,"The Department of Business, Economic Development & Tourism is Hawaii’s resource center for economic and statistical data, business development opportunities, energy and conservation information, and foreign trade advantages.",,
6,Department of Commerce & Consumer Affairs,dcca@dcca.hawaii.gov,Ph: 808 586-2850,"335 Merchant Street, Room 310
Honolulu, Hawaii 96813",http://cca.hawaii.gov/,,state-of-hawaii,"""activity desk"",""athletic trainers"",""behavior analysts"",""business registration"",""cable television"",""collection agency"",""condominium property regimes"",""consumer protection"",""dental hygienist"",""dispensing optician"",""elevator mechanic"",""employment agency"",""financial institutions"",""hearing aid"",""hurricane relief"",""landscape architect"",""marriage and family therapist"",""massage therapy"",""mental health counselor"",""mixed martial arts contests"",""motor vehicle industry"",""motor vehicle repair"",""naturopathic medicine"",""nursing aide"",""nursing home administrator"",""occupational therapy"",""pest control"",""physical therapy"",""port pilot"",""private detective and guard"",""real estate appraiser"",""real estate"",""regulated industries"",""respiratory therapist"",""social worker"",""speech pathology"",""time share"",""travel agency"",""uniform athlete agents"",BREG,PVL,RICO,accountancy,acupuncture,architect,audiology,banks,barbering,boxing,broadband,business,cemetery,chiropractor,contractor,cosmetology,dentist,electrician,electrologist,engineer,insurance,landlord,landlord-tenant,licensing,medical,nursing,optometry,osteopathy,pharmacist,plumber,professional,psychology,securities,subdivision,surveyor,tenant,veterinary,vocational",,,"The DCCA serves the public through a variety of functions, including regulating and licensing more than 140,000 professionals, monitoring the financial solvency of local banks and insurance companies, and investigating complaints of fraudulent and unfair business practices. For complaint records of the Regulated Industries Complaints Office, search for that specific office.",,
78,Department of Community Services,dcs@honolulu.gov,"Phone: (808) 768-7762 
Fax: (808) 768-7792","925 Dillingham Boulevard, Suite 200   
Honolulu HI  96817",https://www.honolulu.gov/dcs,,city-and-county-of-honolulu,"""american job center"",""child welfare"",""elderly affairs"",""employee benefits"",""grants in aid"",""health care"",""juvenile justice"",""rental assistance"",""section 8"",""social services"",""vocational rehabilitation"",""youth services"",DCS,HUD,aging,blind,development,disability,homeless,houseless,housing,shelter,workforce,workhawaii,youth,youthbuild",,,"The Department of Community Services (DCS) administers programs to meet human service, workforce and housing needs of economically challenged individuals and families with special needs in the City and County of Honolulu.",,
201,Department of Corrections and Rehabilitation,dcr.office.of.the.director@hawaii.gov,"Ph: 808 587-1288
Fax: 808 587-1282","1177 Alakea Street
Honolulu, HI 96813",https://dcr.hawaii.gov,,state-of-hawaii,"""Correctional Industries Advisory Committee"",""Halawa Correctional Facility"",""Hawaii Community Correctional Center"",""Kauai Community Correctional Center"",""Kulani Correctional Facility"",""Maui Community Correctional Center"",""Oahu Community Correctional Center"",""Waiawa Correctional Facility"",""Women's Community Correctional Center"",""correctional center"",""correctional facility"",""correctional industries"",""corrections population management commission"",""internal affairs"",""saguaro correctional center"",corrections,jail,prison,reentry,rehabilitation",,,"The mission of the Department of Corrections and Rehabilitation is to provide a secure correctional environment for comprehensive rehabilitative, holistic, and wraparound re-entry services, including culturally based approaches, to persons sentenced to our custody and care with professionalism, integrity, respect, and fairness. Our goal is to reduce recidivism and enhance the safety and security of our communities.",,
81,Department of Customer Services,csd@honolulu.gov,,"550 South King Street 
Honolulu, Hawaii 96813",http://www.honolulu.gov/csd/default.html,,city-and-county-of-honolulu,"""motor vehicle"",""municipal reference center"",""satellite city hall"",""satellite city"",CSD,driver,licensing,registration",,,"The Department of Customer Services (CSD) provides the public with information about city programs, administers the Motor Vehicles, Licensing, and Permits program, and operates Satellite City Hall and driver licensing stations island-wide.",,
8,Department of Defense - Federal,ngb.foia@mail.mil,Phone:  (844) 573-2939,"NGB FOIA Office (NGB/JA-OIP)
ATTN: ANG FOIA Request
111 South George Mason Drive, AH2
Arlington, VA 22204-1373",http://dod.hawaii.gov/,,state-of-hawaii,"""Advisory Board on Veterans' Services"",""Hawaii Advisory Council on Emergency Management"",""Hawaii National Guard Youth Challenge Academy"",""civil defense"",""emergency management"",""homeland security"",""national guard"",DOD,disaster,emergency,veteran",,,"To maintain readiness to respond to the needs of the people in the event of disasters, either natural or human-caused; to administer policies and programs related to veterans and their families and improve our State Veterans' Cemeteries, to provide at-risk youth with opportunities to obtain their high school diplomas and become productive citizens.",Records of the Hawaii Department of Defense may be covered by both the federal FOIA and state UIPA.  FOIA requests will be processed by individuals on the mainland and different legal standards may apply.,
7,Department of Defense - State,dod.pao.all@hawaii.gov,Ph: 808 441-7000,"3949 Diamond Head Road 
Honolulu, HI 96816",http://dod.hawaii.gov/,,state-of-hawaii,"""Advisory Board on Veterans' Services"",""Hawaii Advisory Council on Emergency Management"",""Hawaii National Guard Youth Challenge Academy"",""civil defense"",""emergency management"",""homeland security"",""national guard"",DOD,disaster,emergency,veteran",,,"To maintain readiness to respond to the needs of the people in the event of disasters, either natural or human-caused; to administer policies and programs related to veterans and their families and improve our State Veterans' Cemeteries, to provide at-risk youth with opportunities to obtain their high school diplomas and become productive citizens.",Records of the Hawaii Department of Defense may be covered by both the federal FOIA and state UIPA.  FOIA requests will be processed by individuals on the mainland and different legal standards may apply.,
83,Department of Design & Construction,ddc@honolulu.gov,"Phone: (808) 768-8480
Fax: (808) 768-4567","650 South King Street, 11th Floor 
Honolulu, Hawaii 96813",http://www.honolulu.gov/ddc.html,,city-and-county-of-honolulu,"""capital improvements"",""public works"",""real property"",CIP,DDC,building,construction,design,development,facilities,wastewater",,,The Department of Design and Construction (DDC) is the central agency responsible for administering the city’s Capital Improvement Program (CIP).,,
9,Department of Education,doeinfo@k12.hi.us,Ph: 808 586-3230,"1390 Miller St. 
Honolulu, HI 96813",http://www.hawaiipublicschools.org/Pages/Home.aspx,,state-of-hawaii,"""Board of Education"",""Teacher Education Coordinating Committee"",""child nutrition"",DOE,school",,,"The Hawaii Department of Education serves our community by developing the academic achievement, character, and social-emotional well-being of our students to the fullest potential. The Department works with partners, families, and communities to ensure that all students reach their aspirations from early learning through college, career, and citizenship.",,
82,Department of Emergency Management,dem@honolulu.gov,"Phone: (808) 723-8960
TTY: (808) 723-8966
Fax: (808) 524-3439","Frank F. Fasi Municipal Building
650 South King Street, Basement 
Honolulu, Hawaii 96813-3078",http://www.honolulu.gov/dem/default.html,,city-and-county-of-honolulu,"""civil defense"",""emergency management"",DEM,disaster,emergency",,,"The Department of Emergency Management (DEM) coordinates the city’s emergency management operations with state, federal (including military), and non-government agencies to prepare, respond to, and recover from various types of disasters and emergencies.",,
85,Department of Enterprise Services,blaisdellinfo@honolulu.gov,"Phone: (808) 768-5400
Fax: (808) 768-5433","777 Ward Avenue 
Honolulu, Hawaii 96814",http://www.honolulu.gov/des/default.html,,city-and-county-of-honolulu,"""Ala Wai Golf Course"",""Ewa Villages Golf Course"",""Honolulu Zoo"",""Kahuku Golf Course"",""Neil S. Blaisdell Center"",""Pali Golf Course"",""Ted Makalena Golf Course"",""West Loch Golf Course"",""golf course"",""waikiki shell"",DES,blaisdell,concession,golf,zoo",,,"The Department operates and maintains Neil S. Blaisdell Center, Waikiki Shell, Honolulu Zoo, Ala Wai Golf Course, Ewa Villages Golf Course, Kahuku Golf Course, Pali Golf Course, Ted Makalena Golf Course, and West Loch Golf Course. The department also coordinates the preparation, administration, and enforcement of citywide concession contracts.",,
86,Department of Environmental Services,env@honolulu.gov,"Phone: (808) 768-3486
Fax: (808) 768-3487","1000 Uluohia Street, Suite 308 
Kapolei, Hawaii 96707",https://www.honolulu.gov/env.html,,city-and-county-of-honolulu,"""Waimanalo Gulch Landfill"",""environmental management"",""environmental services"",""solid waste"",ENV,H-POWER,bulky,environment,environmental,greenwaste,landfill,opala,recycling,trash,wastewater",,,"The Department of Environmental Services (ENV) plans, directs, operates and administers the city’s wastewater and solid waste programs.",,
87,Department of Facility Maintenance,dfm@honolulu.gov,"Phone: (808) 768-3343 
Fax: (808) 768-3381","1000 Uluohia Street, Suite 215 
Kapolei, Hawaii 96707",https://www.honolulu.gov/dfm,,city-and-county-of-honolulu,"""facility maintenance"",""sidewalk nuisance"",""stored property"",""storm water"",DFM,bridges,custodial,equipment,facilities,facility,housing,maintenance,parking,pothole,roads,security,streets",,,"The Department of Facility Maintenance (DFM) administers maintenance programs for the city’s roads, traffic signs and markings, bridges, streams, flood control systems, city buildings and office facilities, city vehicles and heavy equipment, park facilities, streetlights, and communications centers.  DFM also provides services for city properties and agencies for housing management, parking garage management, security, interdepartmental mail, and heavy vehicle and equipment training. The department also enforces stored property and sidewalk nuisance ordinances.",,
157,Department of Fire & Public Safety,fire.dept@mauicounty.gov,"Phone: 808-270-7561
Fax: 808-270-7919","200 Dairy Road
Wailuku, HI 96793",http://www.co.maui.hi.us/1460/Fire-and-Public-Safety,,county-of-maui,"""Fire and Public Safety Commission"",""Public Safety Commission"",ambulance,emergency,fire,hazardous,health,paramedic,safety",,,"The Department of Fire and Public Safety provides emergency and non-emergency services for the islands of Maui, Molokai, Lanai, and Kahoolawe and the surrounding waters. The Department has 14 fire stations throughout the County of Maui. There are 10 fire stations on the island of Maui, three fire stations on the island of Molokai, and one fire station on the island of Lanai.",,
11,Department of Hawaiian Home Lands,dhhl.icro@hawaii.gov,"Phone:  (808) 620-9590
Fax:  (808) 620-9599","P.O. Box 1879
Honolulu, HI  96805",http://dhhl.hawaii.gov,,state-of-hawaii,"""Hawaiian Homes Commission"",""Home Lands"",""land use"",DHHL,Hawaiian,development,homestead,planning",,,To manage the Hawaiian Home Lands Trust effectively and to develop and deliver Hawaiian home lands to native Hawaiians.,,
12,Department of Health,webmail@doh.hawaii.gov,"Ph: 808 586-4400
Fax 808 586-4444","1250 Punchbowl St., Room 325
Honolulu, Hawaii 96813",http://health.hawaii.gov/,,state-of-hawaii,"""Board of Certification of Operating Personnel in Wastewater Treatment Plants"",""Board of Certification of Public Water System Operators"",""Board of Health"",""Board on Mental Health and Substance Abuse"",""Drug Product Selection Board"",""Hansen's Disease"",""Hawaii Advisory Commission on Drug Abuse and Controlled Substances"",""Hawaii Early Intervention Coordinating Council"",""Hawaii State Emergency Response Commission"",""Radiologic Technology Board"",""State Council on Mental Health"",""State Emergency Medical Services Advisory Committee"",""Statewide Health Coordinating Council"",""Tobacco Prevention and Control Advisory Board"",""alcohol abuse"",""behavioral health"",""communicable disease"",""developmental disabilities"",""drug abuse"",""environmental health"",""health care"",""mental health"",""safe drinking water"",""substance abuse"",AIDS,DOH,STD,disability,disease,emergency,environment,environmental,hazardous,hipaa,immunization,sanitation,tobacco,tuberculosis,water",,,"To monitor, protect and enhance the health of all people in Hawaii by providing leadership in assessment, policy development, and assurance to promote health and well-being, to preserve a clean, healthy and natural environment, and to assure basic health care for all.",,
158,Department of Housing & Human Concerns,director.hhc@mauicounty.gov,"Phone: (808) 270-7805
Fax: (808) 270-7165","95 Mahalani St, Room 20
Wailuku , HI 96793",http://www.co.maui.hi.us/117/Housing-Human-Concerns,,county-of-maui,"""Animal Control Board"",""Commission on Children and Youth"",""Commission on Culture and the Arts"",""Commission on Persons with Disabilities"",""Council on Aging"",""Office on Aging"",""Volunteer Center Advisory Committee"",""affordable housing"",""early childhood"",""elder affairs"",""rental assistance"",""section 8"",""social services"",""youth services"",aging,animal,development,disabilities,disability,homeless,houseless,housing,immigration,shelter,youth",,,"The County, through the Department of Housing and Human Concerns, supports a wide range of community needs through a combination of direct services administered by the department, grant support to non-profit service providers, and/or encouraging and facilitating collaboration and partnerships among public and private organizations.",,
14,Department of Human Resources Development,dhrd@hawaii.gov,"Ph: 808 587-1100
Fax: 808 587-1106","235 S Beretania St., Room 1400
Honolulu, HI 96813",http://dhrd.hawaii.gov/,,state-of-hawaii,"""Deferred Compensation Plan"",""Civil Service"",""deferred compensation"",""employee claims"",""employee classification"",""employee relations"",""Merit Appeals Board"",DHRD,benefits,employee,personnel",,,"The Department of Human Resources Development (“DHRD”) provides timely and responsive leadership, resources, and services to fully support the State in the recruitment, management and retention of a high-performing workforce.",,
15,Department of Human Services,dhs@dhs.hawaii.gov,"Ph:  808 586-4892
Fax: 808 586-4890","P.O. Box 339
Honolulu, HI 96809-0339",http://humanservices.hawaii.gov/,,state-of-hawaii,"""Commission on Fatherhood"",""Hawaii Interagency Council on Homelessness"",""Hawaii Juvenile Justice State Advisory Council"",""State Commission on Fatherhood"",""child welfare"",""employee benefits"",""fatherhood commission"",""food stamp"",""head start"",""health care"",""independent living"",""juvenile justice"",""medical insurance"",""services for the blind"",""social services"",""state commission on the status of women"",""state rehabilitation council"",""status of women"",""vocational rehabilitation"",""youth services"",DHS,EBT,MED-QUEST,QUEST,SCHIP,SNAP,TANF,blind,disability,fatherhood,foster,ho'opono,homeless,houseless,medicaid,shelter,youth",,,"To provide timely, efficient and effective programs, services and benefits for the purpose of achieving the outcome of empowering Hawaii’s most vulnerable people; and to expand their capacity for self-sufficiency, self-determination, independence, healthy choices, quality of life, and personal dignity.",,
17,Department of Labor & Industrial Relations,dlir.director@hawaii.gov,Ph: 808 586-8844,"830 Punchbowl St. #321
Honolulu, HI 96813",http://labor.hawaii.gov/,,state-of-hawaii,"""Career Kokua"",""Employment Security Appeals Referees' Office"",""Hawaii Occupational Safety and Health Advisory Committee"",""Hawaii Workforce Development Council"",""Hoisting Machine Operators Advisory Board"",""State Apprenticeship Council"",""State Fire Council"",""disability compensation"",""employment security"",""labor relations"",""occupational health"",""occupational safety"",""unemployment insurance"",""vocational rehabilitation"",""wage standards"",""workforce development"",DLIR,HCIDS,HIOSH,inspection,research,statistics,unemployment,wages,workforce",,,"The department shall administer programs designed to increase the economic security, physical and economic well-being, and productivity of workers, and to achieve good labor-management relations, including the administration of workers’ compensation, employment security, apprenticeship training, wage and hour, and industrial relations laws.  The department shall also have the function of developing, preparing, and disseminating information on employment, unemployment, and general labor market conditions.",,
192,Department of Land Management,landmanagement@honolulu.gov,"Phone: (808) 768-4277 
Fax: (808) 768-4296","558 S. King Street
Honolulu, HI 96813",http://www.honolulu.gov/dlm/home.html,,city-and-county-of-honolulu,"""clean water"",""natural lands"",""real estate"",""transit oriented"",development,dlm,land",,,The Department of Land Management (DLM) manages the City and County of Honolulu's real estate interests and negotiates real property transactions for the city.,,
18,Department of Land & Natural Resources,dlnr.uipa@hawaii.gov,Ph: 808 587-0390,"Administrative Proceedings Office
1151 Punchbowl St., Room 130
Honolulu, HI 96813",http://dlnr.hawaii.gov,,state-of-hawaii,"""Anuenue Fisheries Research Center"",""Commission on Water Resource Management"",""Endangered Species Recovery Committee"",""Hawaii Historic Places Review Board"",""Hawaiian Island Humpback Whale National Marine Sanctuary"",""Invasive Species Council"",""Island Burial Council"",""Kahana Valley Living Park"",""Kaho'olawe Island Reserve"",""Kaneohe Bay Regional Council"",""Kauai Aquatic Life and Wildlife Advisory Committee"",""Koke'e State Park"",""Kokee State Park Advisory Council"",""Legacy Land Conservation Commission"",""Natural Area Reserves Systems Commission"",""Papahanaumokuakea Marine National Monument"",""State Historic Preservation Division"",""Water Resource Management Commission"",""aha moku"",""aquatic resources"",""bureau of conveyances"",""burial council"",""coastal lands"",""endangered species"",""historic places"",""historic preservation"",""invasive species"",""land use"",""ocean recreation"",""resources enforcement"",""small boat harbors"",""water resource"",BOC,CWRM,DAR,DLNR,DOBOR,DOCARE,DOFAW,SHPD,archaeology,boating,camping,conservation,conveyances,culture,fisheries,forestry,harbors,hunter,hunting,parks,permitting,planning,trails,water,wildlife",,,"To seek, develop and implement cost-effective strategies for the long-term sustainable management, maintenance, protection and utilization of existing and potential, ocean, land, natural and cultural resources of the State of Hawaii in an integrated manner and in partnership with others from the public and private sectors. Additionally, prevent the establishment of invasive species detrimental to native habitats, while promoting responsible use, understanding, and respect for Hawaii's resources.",,
200,Department of Law Enforcement,LAW.Director@hawaii.gov,"Ph: 808 587-1355
Fax:  808 587-1282","715 South King St., Suite 409
Honolulu, HI 96813",https://law.hawaii.gov,,state-of-hawaii,"""capitol patrol"",""homeland security"",""inspector general"",""internal affairs"",""law enforcement"",""public safety"",calea,crime,criminal,emergency,investigation,law,narcotics,sheriff",,,"The Department of Law Enforcement’s goal is to preserve the public peace, prevent crime, and protect the rights of persons and property at its highest level of law enforcement service for the public, state employees and state properties.",,
